wdigestVersion,g_fParameter_UseLogonCredential,g_IsCredGuardEnabled
wdigest_10240-16384.dll,35134,0
wdigest_10240-17184.dll,35144,34ba0
wdigest_10240-18244.dll,35144,34ba0
wdigest_10240-18608.dll,35144,34ba0
wdigest_10240-18638.dll,35144,34ba0
wdigest_10240-20307.dll,35174,34ba0
wdigest_10240-20526.dll,35174,34ba0
wdigest_10240-20883.dll,351d4,34ba0
wdigest_10240-20915.dll,361d4,35ba0
wdigest_10586-0.dll,35db0,35ba8
wdigest_14393-0.dll,35dc0,35ba8
wdigest_14393-3024.dll,35dc0,35ba8
wdigest_14393-3750.dll,35dc0,35ba8
wdigest_14393-3808.dll,35dc0,35ba8
wdigest_14393-6451.dll,35de8,35ba8
wdigest_14393-6795.dll,34de8,34ba8
wdigest_14393-7693.dll,34de8,34ba8
wdigest_14393-7783.dll,35de8,35ba8
wdigest_15063-1868.dll,34d8c,34b88
wdigest_15063-2411.dll,34d8c,34b88
wdigest_15063-2679.dll,34d8c,34b88
wdigest_15254-245.dll,34d8c,34b88
wdigest_16299-192.dll,35114,34b88
wdigest_16299-1217.dll,35114,34b88
wdigest_16299-1937.dll,35114,34b88
wdigest_16299-1992.dll,35114,34b88
wdigest_17134-590.dll,35114,34b88
wdigest_17134-829.dll,35114,34b88
wdigest_17134-1553.dll,35114,34b88
wdigest_17134-1610.dll,36114,35b88
wdigest_17763-194.dll,35114,34b88
wdigest_17763-557.dll,35114,34b88
wdigest_17763-1294.dll,35114,34b88
wdigest_17763-1339.dll,36114,35b88
wdigest_17763-3772.dll,38244,37c08
wdigest_17763-4011.dll,38234,37c08
wdigest_17763-4131.dll,38234,37c08
wdigest_17763-4974.dll,428c4,421b8
wdigest_17763-5202.dll,428c4,421b8
wdigest_17763-5328.dll,428c4,421b8
wdigest_17763-5696.dll,428c4,421b8
wdigest_17763-6530.dll,428c4,421b8
wdigest_18362-175.dll,35124,34b88
wdigest_18362-904.dll,35124,34b88
wdigest_18362-959.dll,36124,35b88
wdigest_18362-1216.dll,35124,34b88
wdigest_19041-329.dll,361b4,35c08
wdigest_19041-388.dll,361b4,35c08
wdigest_19041-1001.dll,361b4,35c08
wdigest_19041-2604.dll,3a2e4,39ca8
wdigest_19041-2673.dll,392b4,38c88
wdigest_19041-3505.dll,45a24,452e8
wdigest_19041-3636.dll,45a14,452e8
wdigest_19041-3930.dll,45a24,452e8
wdigest_19041-4291.dll,43954,43258
wdigest_19041-5125.dll,43964,43148
wdigest_19041-5440.dll,45a14,451d8
wdigest_19041-5547.dll,45a34,451d8
wdigest_22000-1030.dll,3caa4,3cab0
wdigest_22000-1516.dll,3ebdc,3ebe8
wdigest_22000-1696.dll,3dbbc,3dbc8
wdigest_22000-2474.dll,4b57c,4b588
wdigest_22000-2538.dll,4a56c,4a578
wdigest_22000-3250.dll,411ec,411f8
wdigest_22406-1000.dll,3caa4,3cab0
wdigest_22621-1244.dll,4b5ac,4b5b8
wdigest_22621-1364.dll,3ec0c,3ec18
wdigest_22621-1376.dll,421ec,421f8
wdigest_22621-1409.dll,4b7b4,4b7c0
wdigest_22621-2431.dll,4b59c,4b5a8
wdigest_22621-3061.dll,4b5ac,4b5b8
wdigest_22621-3350.dll,4a59c,4a5a8
wdigest_22621-4601.dll,4b7b4,4b7c0
wdigest_22621-4746.dll,4b7ac,4b7b8
wdigest_22621-4880.dll,4b7ac,4b7b8
wdigest_22621-4950.dll,4b7dc,4b7e8
wdigest_26100-1.dll,46e70,46e80
wdigest_26100-712.dll,46e70,46e80
wdigest_26100-1150.dll,46e70,46e80
wdigest_26100-1591.dll,46e70,46e80
wdigest_26100-1882.dll,46e70,46e80
wdigest_26100-2454.dll,46e70,46e80
wdigest_26100-2894.dll,46e70,46e80
wdigest_26100-3037.dll,46e70,46e80
wdigest_26100-3194.dll,47090,470a0
wdigest_26100-3323.dll,47090,470a0
